name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Commissioned Crews,CHM_commission,,,Commissioned Crews,req_spaceport,Requires Dock,,TRUE,,,0,0,0,0,data.scripts.hullmods.CHM_commissioned,"Commission bonuses are always applied when you enter a market. 

However... as a last resort, when activated, this ship will receive special training or upgrades varying from the faction you're commissioned under.",Allows everything to work.,graphics/hullmods/chm_commission.png
Commissioned Crew Ban,CHM_commission2,,,Commissioned Crews,req_spaceport,Requires Dock,,TRUE,,,0,0,0,0,data.scripts.hullmods.CHM_commissioned2,This ship will be marked to never accept any future Commission Bonus for any reason.,Deattach the ship's hull with the commissioned crew first!,graphics/hullmods/chm_commission_noh.png
Hegemony Armor Improvements,CHM_hegemony,,,Hegemony,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_hegemony,"Ship receives high quality armor plating produced in forges of Chicomoztoc, increases ship's armor by %s/%s/%s/%s points, depending on hull size.",Increase armor.,graphics/hullmods/chm_hegemony.png
Fourteenth Battlegroup Survivor,CHM_hegemony_xiv,,,XIV Battlegroup,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_hegemony_xiv,Valued survivor from 14th Domain Battlegroup cannot simply be given post-Collapse armor plating improvements. Its pre-Collapse armor can still be maintained and kept in best shape possible. Ship ignores bonus provided by Hegemony Armor Improvements and instead increases ship's armor by %s points.,Increase armor.,graphics/hullmods/chm_hegemony_xiv.png
Fighter Supremacy,CHM_persean_league,,,Midline,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_persean_league,"Ship's nanoforges have been improved using pre-Collapse data, lowering the replacement time by %s/%s/%s/%s, depending on hull size. These nanoforges require less crew to operate, lowering skeleton crew requirement by %s.",Improves fighter replacement rate,graphics/hullmods/chm_persean_league.png
Advanced Flux Capacitors,CHM_tritachyon,,,Tri-Tachyon,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_tritachyon,Ships used by Tri-Tachyon Corporation and other compatible ships are upgraded boosted ship's flux capacity by %s. Affects ships of %s and %s design type.,Skeleton Crew decrease,graphics/hullmods/chm_tritachyon.png
Lion Training,CHM_sindrian,,,Lion's Guard,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_sindrian,The ship's crews have been trained and constantly drilled on Sindrian doctrines. Receive additional bonuses when an Officer is on-board this ship. Increase the ship's maneuverability by %s. Increases the turn rate of all turrets by %s.,Special bonuses for officers.,graphics/hullmods/chm_sindrian_diktat.png
Lion's Eye,CHM_sindrian1,,,Lion's Guard,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_sindrian1,"Leadership of a Timid or Cautious officer makes shields more reactive, increasing the turn rate of the ship's shields and the rate at which they are raised by  %s.",Special bonuses for officers.,graphics/hullmods/chm_sindrian_diktat1.png
Lion's Mane,CHM_sindrian2,,,Lion's Guard,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_sindrian2,"Leadership of Steady officer optimizes ship's maneuvering thrusters and motivates gunnery crews, granting %s bonus to maneuverability and increasing turn rate of all turrets by %s.",Special bonuses for officers.,graphics/hullmods/chm_sindrian_diktat2.png
Lion's Maul,CHM_sindrian3,,,Lion's Guard,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_sindrian3,"Leadership of Aggressive or Reckless officer improves ship's targeting routines, increasing damage dealt to weapons and engines by %s.",Special bonuses for officers.,graphics/hullmods/chm_sindrian_diktat3.png
Pirate Handiworks,CHM_pirate,,,Pirate,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.CHM_pirate,Pirates and smugglers on-board makes constant adjustments to make the ship less visible in space. The ship's sensor profile is reduced by %s.,Reduce sensor profile.,graphics/hullmods/chm_pirate.png
